name|category|price|key|image|description
Серьги с бриллиантами|Серьги|650,000.00||1002|Серьги, Россия начало XX века, золото 56 пробы, бриллианты. 1бриллиант Кр58, 1,28ct. 8-1/7а; 1 бриллиант Кр58, 1,11ct. 6/7. вес изделия 3,53 гр.
Кольцо с демантоидом и бриллиантами| Кольца|80,000.00||1023| Кольцо, Россия начало XX века, золото 56 пробы, 2 бриллианта Кр 58, 0,53 ct. 4/4-5; 1 демантоид 0,20 ct. желтовато зеленый yG5/4/VS. Вес изделия 2,75 гр., размер кольца 17.
"Запонки ""на память"""|Запонки|120,000.00||1032|Запонки, Россия конец XIX начало XX века, золото 56 пробы, эмаль. Вес изделия 8, 27 гр.
Пусеты с бриллиантами|Серьги|90,000.00||1003|Серьги пусеты, Россия начало XX века, золото, серебро, бриллианты. 1бриллиант Кр 58,     0,23 ct. 3/7; 1 бриллиант Кр 58, 0,21 ct., 5/6. Вес изделия 1,91 гр.
Серьги с жемчугом|Серьги|280,000.00||1019|"Серьги, Россия начало XX века, золото 56 пробы, 2 барочных жемчуга, бриллианты огранки ""роза"" , бриллиантов 66, 0,40 ct. Вес изделия 11,29 гр."
Серьги с демантоидами и бриллиантами|Серьги|170,000.00||1001|"Серьги, Россия начало XX века, золото 56 пробы, серебро, демантоиды, бриллианты. 2 демантоида 0,40 ct. желтовато зеленый           yG 4/3/SI1; 2 Бр. Кр. 16, 0,11 ct. 3/3; 2 Бр. Кр. 16, 0,01 ct. 3/3; 24 Бр. огранки ""роза"", 0,08 ct. Вес изделия 2,21 гр."
Брошь малинка|Броши|140,000.00||1036|Брошь, Западная Европа, 1930-1940 гг., золото 585 пробы, камнерезка, 2 родонит розовый, 1 нефрит, темно-зеленый. Вес изделия 14,48 гр.
Кольцо с бирюзой|Кольца|35,000.00||1029|Кольцо, Россия начало XX века, золото 56 пробы, 1 природная бирюза. Вес изделия 3,02 гр. Размер кольца 17,5.
Кольцо маркиз с бриллиантами|Кольца|85,000.00||1030|"Кольцо, Россия начало XX века, золото, бриллианты. 1 Бр. Кр. 16, 0,23 ct., 2/2; 18 Бр. огранки ""роза"", 0,25ct. Вес изделия 2,76, размер кольца 18."
Серьги с бриллиантами|Серьги|90,000.00||1013|"Серьги, Россия 1920-1930 гг., золото, серебро, бриллианты. 2 Бр. Кр. 58, 0,25 ct. 3/5; 20 Бр. огранки ""роза"", 0,20 ct. Вес изделия 3,78 гр."
